epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.981,1.08616,5.06861,0.00624,0.00939,0.6,0.30931,0.22635,0.82368,5.63572,0.00647,0.00025553,0.00025553,0.00025553
2,466.479,0.87657,3.4766,0.00467,0.00904,0.66739,0.32606,0.24547,0.94539,4.90138,0.00716,0.000517001,0.000517001,0.000517001
3,691.028,0.89766,3.02885,0.00468,0.82295,0.15173,0.49749,0.39506,0.7572,4.55751,0.00567,0.000773192,0.000773192,0.000773192
4,911.609,0.9247,2.71948,0.00526,0.86091,0.38603,0.67268,0.53365,0.74871,3.68221,0.00577,0.0010241,0.0010241,0.0010241
5,1121.29,0.89173,2.44183,0.00525,0.71737,0.61903,0.67678,0.57929,0.74942,3.21505,0.00671,0.001067,0.001067,0.001067
6,1336.48,0.82134,2.22757,0.00468,0.77426,0.53954,0.67395,0.56287,0.75986,2.68034,0.00641,0.00105601,0.00105601,0.00105601
7,1544.16,0.77179,1.99509,0.00446,0.85714,0.54843,0.70361,0.59097,0.74585,2.38097,0.00525,0.00104501,0.00104501,0.00104501
8,1749.54,0.80145,1.95458,0.00476,0.80082,0.65902,0.70031,0.61264,0.5715,2.13911,0.00426,0.00103401,0.00103401,0.00103401
9,1956.22,0.70775,1.68021,0.00409,0.82701,0.67422,0.74437,0.64678,0.67941,2.03515,0.00502,0.00102301,0.00102301,0.00102301
10,2162.94,0.70471,1.55377,0.00407,0.84022,0.66632,0.74802,0.64914,0.63109,1.88934,0.00481,0.00101201,0.00101201,0.00101201
11,2367.29,0.66014,1.47261,0.0039,0.85797,0.73238,0.76093,0.68037,0.6073,1.6381,0.00485,0.00100101,0.00100101,0.00100101
12,2571.54,0.68859,1.34208,0.00407,0.91888,0.67402,0.76463,0.68247,0.58013,1.58735,0.00442,0.000990012,0.000990012,0.000990012
13,2778.12,0.68463,1.26511,0.00386,0.88709,0.691,0.75742,0.6704,0.62465,1.50457,0.00468,0.000979013,0.000979013,0.000979013
14,2985.51,0.69459,1.22182,0.00407,0.89982,0.7362,0.76835,0.68791,0.5492,1.33352,0.00414,0.000968014,0.000968014,0.000968014
15,3218.56,0.69455,1.10832,0.00403,0.8703,0.73417,0.76273,0.67104,0.69333,1.32228,0.00539,0.000957015,0.000957015,0.000957015
16,3434.34,0.64329,1.04368,0.00375,0.91007,0.74814,0.7784,0.71204,0.55298,1.1057,0.00358,0.000946016,0.000946016,0.000946016
17,3642.93,0.73595,1.07987,0.00411,0.88928,0.74962,0.77026,0.66212,0.8302,1.12109,0.00611,0.000935018,0.000935018,0.000935018
18,3856.22,0.72299,0.95675,0.00377,0.8978,0.76042,0.79152,0.67802,0.9005,1.08425,0.00534,0.000924019,0.000924019,0.000924019
19,4066.54,0.76965,0.93756,0.00373,0.75795,0.83955,0.82918,0.68517,0.91428,1.04201,0.00488,0.00091302,0.00091302,0.00091302
20,4276.24,0.78882,0.9276,0.00357,0.71263,0.83392,0.84418,0.70081,0.84694,0.98477,0.00431,0.000902021,0.000902021,0.000902021
21,4489.9,0.783,0.88728,0.00342,0.8052,0.86171,0.885,0.71676,0.88808,0.95443,0.00442,0.000891022,0.000891022,0.000891022
22,4704.37,0.77919,0.8312,0.00306,0.77419,0.86387,0.87593,0.71398,0.82364,0.90084,0.00401,0.000880023,0.000880023,0.000880023
23,4917.66,0.78911,0.79991,0.003,0.75945,0.88135,0.9072,0.73063,0.79363,0.87298,0.00376,0.000869024,0.000869024,0.000869024
24,5128.1,0.78694,0.82489,0.00313,0.77535,0.92158,0.93217,0.77387,0.69684,0.8191,0.00287,0.000858025,0.000858025,0.000858025
25,5334.41,0.74879,0.76483,0.00285,0.85545,0.89445,0.93922,0.75413,0.79347,0.74079,0.00397,0.000847026,0.000847026,0.000847026
26,5544.79,0.77979,0.76832,0.00305,0.8072,0.90509,0.93761,0.73845,0.85933,0.80856,0.00412,0.000836027,0.000836027,0.000836027
27,5759.04,0.76238,0.76021,0.00325,0.82467,0.89563,0.95675,0.79523,0.69999,0.70269,0.00347,0.000825029,0.000825029,0.000825029
28,5985.18,0.76186,0.69409,0.00284,0.77732,0.91829,0.93247,0.77889,0.72555,0.70028,0.00337,0.00081403,0.00081403,0.00081403
29,6205.55,0.7324,0.68359,0.00269,0.87377,0.91304,0.95227,0.77525,0.72912,0.66714,0.00329,0.000803031,0.000803031,0.000803031
30,6433.16,0.71885,0.67178,0.00267,0.83511,0.90984,0.95787,0.79543,0.72765,0.61034,0.00357,0.000792032,0.000792032,0.000792032
31,6645.04,0.72664,0.64082,0.00266,0.80123,0.90927,0.9264,0.74512,0.80895,0.72228,0.00377,0.000781033,0.000781033,0.000781033
32,6855.1,0.73048,0.64663,0.00274,0.84708,0.90611,0.95663,0.78698,0.72533,0.56407,0.00347,0.000770034,0.000770034,0.000770034
33,7069.26,0.68171,0.61457,0.00244,0.84875,0.91739,0.95646,0.7946,0.65874,0.55506,0.00283,0.000759035,0.000759035,0.000759035
34,7276.78,0.70195,0.61853,0.00255,0.81522,0.94633,0.95506,0.78721,0.71789,0.57238,0.0033,0.000748036,0.000748036,0.000748036
35,7484.29,0.69186,0.59992,0.00263,0.85269,0.92449,0.95118,0.78389,0.70637,0.55404,0.00316,0.000737037,0.000737037,0.000737037
36,7692.67,0.69533,0.59286,0.00257,0.87484,0.92326,0.95923,0.79969,0.68842,0.50018,0.00296,0.000726038,0.000726038,0.000726038
37,7903.8,0.67392,0.59137,0.00237,0.87391,0.93381,0.96056,0.80633,0.62932,0.51964,0.00271,0.00071504,0.00071504,0.00071504
38,8115.29,0.68278,0.56407,0.00236,0.88588,0.93313,0.96348,0.79204,0.70442,0.53504,0.00331,0.000704041,0.000704041,0.000704041
39,8322.95,0.65109,0.55835,0.00235,0.88636,0.94565,0.96715,0.82648,0.62468,0.51463,0.0027,0.000693042,0.000693042,0.000693042
40,8531.12,0.68144,0.54747,0.00242,0.86912,0.92353,0.95207,0.79969,0.64761,0.50819,0.00285,0.000682043,0.000682043,0.000682043
41,8740.47,0.67979,0.53387,0.00244,0.91216,0.90132,0.96378,0.79042,0.72542,0.47453,0.00348,0.000671044,0.000671044,0.000671044
42,8953.01,0.65679,0.52032,0.00235,0.89297,0.93261,0.95837,0.81767,0.58222,0.45766,0.00239,0.000660045,0.000660045,0.000660045
43,9161.13,0.65799,0.52442,0.00226,0.86524,0.9119,0.95603,0.81094,0.61566,0.47688,0.00274,0.000649046,0.000649046,0.000649046
44,9372.02,0.68583,0.53178,0.00252,0.86472,0.93687,0.95864,0.79709,0.63622,0.48442,0.00304,0.000638047,0.000638047,0.000638047
45,9587.11,0.64561,0.51031,0.00231,0.87928,0.95177,0.9658,0.81691,0.61055,0.44791,0.00258,0.000627048,0.000627048,0.000627048
46,9797.61,0.65855,0.50431,0.00225,0.87117,0.93611,0.96302,0.81492,0.63704,0.46505,0.00263,0.000616049,0.000616049,0.000616049
47,10016.4,0.65912,0.50082,0.00243,0.91184,0.92391,0.96549,0.80102,0.65526,0.43628,0.00276,0.000605051,0.000605051,0.000605051
48,10229.7,0.64786,0.50047,0.00231,0.86994,0.93541,0.96546,0.83012,0.61593,0.42769,0.00266,0.000594052,0.000594052,0.000594052
49,10440.6,0.67176,0.49365,0.00225,0.90302,0.9347,0.96746,0.82093,0.58583,0.43281,0.00225,0.000583053,0.000583053,0.000583053
50,10658.1,0.63402,0.46872,0.00217,0.85808,0.91947,0.95789,0.80433,0.62067,0.4704,0.00268,0.000572054,0.000572054,0.000572054
51,10871.5,0.62787,0.47688,0.00219,0.89946,0.94153,0.96602,0.8198,0.58931,0.43188,0.00249,0.000561055,0.000561055,0.000561055
52,11087.2,0.63768,0.45684,0.00216,0.87686,0.94485,0.95912,0.80509,0.65308,0.501,0.0028,0.000550056,0.000550056,0.000550056
53,11302.3,0.62869,0.46393,0.0021,0.84998,0.95289,0.96829,0.81055,0.62697,0.45214,0.00279,0.000539057,0.000539057,0.000539057
54,11512.8,0.64374,0.47082,0.00225,0.90985,0.92668,0.97171,0.81827,0.62678,0.41845,0.00269,0.000528058,0.000528058,0.000528058
55,11723.9,0.63793,0.47473,0.00229,0.87991,0.9205,0.95888,0.80423,0.64913,0.43273,0.00261,0.000517059,0.000517059,0.000517059
56,11932.2,0.62035,0.46112,0.00208,0.9259,0.92174,0.96847,0.82373,0.59014,0.39715,0.00243,0.00050606,0.00050606,0.00050606
57,12136.1,0.62423,0.45484,0.00229,0.87012,0.92826,0.9714,0.82875,0.60721,0.40512,0.00272,0.000495062,0.000495062,0.000495062
58,12345.3,0.64132,0.46371,0.00224,0.91403,0.9468,0.96623,0.81722,0.60555,0.41484,0.00264,0.000484063,0.000484063,0.000484063
59,12548.4,0.61851,0.44519,0.00216,0.89544,0.90168,0.96379,0.82118,0.5779,0.42451,0.00243,0.000473064,0.000473064,0.000473064
60,12755.9,0.62299,0.45003,0.00227,0.88086,0.92807,0.96578,0.81729,0.62091,0.42693,0.00295,0.000462065,0.000462065,0.000462065
61,12970,0.62213,0.43764,0.00221,0.89361,0.94983,0.96806,0.82638,0.5776,0.38752,0.00225,0.000451066,0.000451066,0.000451066
62,13183.1,0.60038,0.4389,0.00204,0.90649,0.94235,0.97049,0.82419,0.63022,0.40715,0.00274,0.000440067,0.000440067,0.000440067
63,13406.3,0.64951,0.42538,0.00241,0.91269,0.94292,0.96521,0.8333,0.5971,0.36776,0.00254,0.000429068,0.000429068,0.000429068
64,13624.8,0.60559,0.4406,0.00217,0.91113,0.94534,0.96494,0.8203,0.61205,0.40209,0.00242,0.000418069,0.000418069,0.000418069
65,13842,0.58922,0.43109,0.0021,0.88021,0.94978,0.97044,0.82916,0.63025,0.39037,0.00281,0.00040707,0.00040707,0.00040707
66,14058.1,0.60216,0.42584,0.00216,0.90192,0.95354,0.97227,0.83365,0.59853,0.39088,0.00241,0.000396071,0.000396071,0.000396071
67,14272.4,0.58882,0.42775,0.00198,0.89362,0.94132,0.9709,0.82434,0.64496,0.37846,0.00278,0.000385073,0.000385073,0.000385073
68,14482.5,0.58881,0.43312,0.00191,0.89768,0.93946,0.96918,0.83546,0.53346,0.38421,0.00202,0.000374074,0.000374074,0.000374074
69,14693.3,0.57237,0.42876,0.00196,0.85702,0.95917,0.96814,0.83344,0.55396,0.39017,0.0023,0.000363075,0.000363075,0.000363075
70,14910.2,0.58266,0.42203,0.00205,0.91482,0.93398,0.97078,0.82602,0.59331,0.38981,0.00241,0.000352076,0.000352076,0.000352076
71,15139.2,0.60111,0.42204,0.00211,0.88878,0.9516,0.96448,0.82418,0.5658,0.38471,0.00222,0.000341077,0.000341077,0.000341077
72,15366.7,0.57162,0.4164,0.00194,0.88057,0.96333,0.96603,0.83566,0.54353,0.35428,0.0021,0.000330078,0.000330078,0.000330078
73,15580.8,0.56098,0.40858,0.00185,0.87854,0.95463,0.96604,0.83244,0.57224,0.36038,0.00235,0.000319079,0.000319079,0.000319079
74,15797.8,0.57866,0.40181,0.00196,0.88356,0.95029,0.96876,0.83418,0.557,0.36037,0.00229,0.00030808,0.00030808,0.00030808
75,16009.7,0.59259,0.42083,0.00202,0.89616,0.94202,0.96174,0.83078,0.55687,0.37099,0.00215,0.000297081,0.000297081,0.000297081
76,16220.5,0.59618,0.3932,0.00188,0.92808,0.90621,0.96812,0.8382,0.54969,0.34815,0.00213,0.000286083,0.000286083,0.000286083
77,16431,0.59332,0.39997,0.00201,0.92466,0.92256,0.97194,0.83451,0.54554,0.34202,0.00212,0.000275084,0.000275084,0.000275084
78,17783.2,0.58309,0.38933,0.00191,0.91231,0.93731,0.9723,0.84139,0.53364,0.34739,0.00203,0.000264085,0.000264085,0.000264085
79,18020.4,0.55499,0.39385,0.00174,0.89161,0.94117,0.97007,0.84058,0.56469,0.36006,0.00226,0.000253086,0.000253086,0.000253086
80,18259.1,0.57402,0.39824,0.00197,0.88455,0.94873,0.96962,0.84003,0.54662,0.34909,0.00219,0.000242087,0.000242087,0.000242087
81,18495.3,0.5556,0.37312,0.00183,0.89925,0.95875,0.96773,0.83524,0.55622,0.35868,0.00229,0.000231088,0.000231088,0.000231088
82,18727.3,0.58391,0.4031,0.00192,0.88213,0.95162,0.97115,0.82994,0.55003,0.35967,0.00211,0.000220089,0.000220089,0.000220089
83,18966.1,0.57038,0.39531,0.00183,0.88753,0.93533,0.9734,0.83454,0.53561,0.37999,0.00204,0.00020909,0.00020909,0.00020909
84,19204.9,0.55228,0.3765,0.00179,0.93805,0.907,0.97384,0.83522,0.53255,0.37878,0.00201,0.000198091,0.000198091,0.000198091
85,19440.2,0.55863,0.39358,0.00182,0.91191,0.92967,0.97428,0.84047,0.54171,0.37104,0.00213,0.000187092,0.000187092,0.000187092
86,19678.9,0.55563,0.37538,0.00183,0.92641,0.93726,0.97256,0.83765,0.55524,0.39437,0.00238,0.000176094,0.000176094,0.000176094
87,19913.3,0.56407,0.37842,0.00176,0.90779,0.9598,0.97145,0.83816,0.54383,0.38207,0.00202,0.000165095,0.000165095,0.000165095
88,20152.6,0.55343,0.3746,0.00178,0.92395,0.93737,0.97291,0.84653,0.53416,0.35298,0.00203,0.000154096,0.000154096,0.000154096
89,20389.6,0.54481,0.37703,0.0018,0.93769,0.93419,0.97554,0.84743,0.51778,0.33159,0.00193,0.000143097,0.000143097,0.000143097
90,20594.2,0.55137,0.3839,0.00166,0.9283,0.94526,0.9755,0.84579,0.525,0.35089,0.00198,0.000132098,0.000132098,0.000132098
91,20792.7,0.56593,0.40243,0.00222,0.92016,0.93941,0.9733,0.83867,0.53839,0.35458,0.00216,0.000121099,0.000121099,0.000121099
92,20992.7,0.54008,0.37679,0.0022,0.9009,0.93868,0.9703,0.84324,0.54679,0.3672,0.00221,0.0001101,0.0001101,0.0001101
93,21193.2,0.53261,0.39178,0.00216,0.91025,0.91701,0.96451,0.83741,0.53754,0.37346,0.00213,9.91012e-05,9.91012e-05,9.91012e-05
94,21392.2,0.53327,0.40342,0.002,0.90445,0.93574,0.96151,0.83469,0.5329,0.3547,0.00205,8.81023e-05,8.81023e-05,8.81023e-05
95,21590,0.52172,0.38588,0.00197,0.90375,0.94035,0.9655,0.84028,0.52281,0.34509,0.00197,7.71034e-05,7.71034e-05,7.71034e-05
96,21790.5,0.51753,0.37723,0.00192,0.9173,0.94272,0.96728,0.83951,0.52194,0.34351,0.00196,6.61045e-05,6.61045e-05,6.61045e-05
97,21987.7,0.50609,0.3937,0.00184,0.9089,0.94509,0.96681,0.83628,0.52665,0.34703,0.00201,5.51056e-05,5.51056e-05,5.51056e-05
98,22185.4,0.52109,0.36587,0.00185,0.90094,0.94273,0.96392,0.83891,0.52528,0.35071,0.00196,4.41067e-05,4.41067e-05,4.41067e-05
99,22383,0.51456,0.38544,0.00189,0.9058,0.94546,0.96593,0.83948,0.52729,0.34717,0.002,3.31078e-05,3.31078e-05,3.31078e-05
100,22582.8,0.50249,0.3794,0.00188,0.90483,0.94612,0.96613,0.84067,0.51943,0.33069,0.00193,2.21089e-05,2.21089e-05,2.21089e-05
